1,500,1,1
2,200,2,1
3,100,3,2
4,50,4,2
5,300,5,3
6,400,1,4
7,100,5,4
8,200,1,7
9,100,6,8
10,50,7,8
11,300,1,11
12,100,4,11
13,500,1,14
14,200,2,14
15,100,3,16
16,10,10,3
17,100,10,1
18,50,4,1
19,200,6,2
20,100,7,2
21,50,8,2
22,200,3,3
24,50,4,3
25,200,2,4
26,100,10,4
27,50,4,4
28,200,2,5
29,100,5,5
30,50,7,5
31,200,2,6
32,100,3,6
33,50,4,6
34,200,2,7
35,100,5,7
36,50,6,7
37,200,2,8
39,50,8,8
40,200,3,9
41,100,5,9
42,50,4,9
43,200,2,10
44,100,10,10
45,50,4,10
46,200,2,11
47,100,10,11
49,200,2,12
50,100,7,12
51,50,8,12
52,200,2,13
53,100,3,13
54,50,4,13
56,100,10,14
57,50,4,14
58,200,2,15
59,100,5,15
60,50,7,15
61,200,2,16
62,100,6,16
63,50,7,16
38,100,16,7
48,100,12,9
